romantisch;romántico
ruhig;tranquila
ruhig;tranquilo
rund;redonda
rund;redondo
sauber;limpia
sauber;limpio
sauer;agria
sauer;agrio
sauer;enfadada
sauer;enfadado
sauer;ácido
schläfrig;dormida
schläfrig;dormido
schlank;delgada
schlank;delgado
schlau;lista
schlau;listo
schlecht;mala
schlecht;malo
schmal;estrecha
schmal;estrecho
schmutzig;sucia
schmutzig;sucio
schnell;rápida
schnell;rápido
schön;bonita
schön;bonito
schön;guapa
schön;guapo
schön;linda
schön;lindo
schrecklich;horrible
schrecklich;terrible
schüchtern;tímida
schüchtern;tímido
schwach;débil
schwer;difícil
schwer;pesada
schwer;pesado
schwerwiegend;grave
schwierig;difícil
schwierig;dura
schwierig;duro
sensibel;sensible
sicher;segura
sicher;seguro
solo;sóla
solo;sólo
sorgfältig;cuidadosa
sorgfältig;cuidadoso
spät;tarde
spendabel;generosa
spendabel;generoso
spezialisiert;especializada
spezialisiert;especializado
stark;fuerte
süß;dulce
sympathisch;simpática
sympathisch;simpático
täglich;diaria
täglich;diario
teuer;cara
teuer;caro
touristisch;turística
touristisch;turístico
traurig;triste
typisch;típica
typisch;típico
überrascht;sorprendida
überrascht;sorprendido
unangenehm;desagradable
unbesetzt;libre
unentbehrlich;imprescindible
ungeduldig;impaciente
ungünstig;inconveniente
unmöglich;imposible
unnötig;innecesario
unordentlich;desordenada
unordentlich;desordenado
unpassend;inconveniente
unsicher;insegura
unsicher;inseguro
unsympathisch;antipática
unsympathisch;antipático
unterschiedlich;diferente
unterschiedlich;distinta
unterschiedlich;distinto
verantwortlich;responsable
verantwortungsvoll;responsable
verärgert;enfadada
verärgert;enfadado
verbindlich;obligatoria
verbindlich;obligatorio
verboten;prohibida
verboten;prohibido
verbreitet;extendida
verbreitet;extendido
verdreckt;sucia
verdreckt;sucio
vergangen;pasada
vergangen;pasado
verheiratet;casada
verheiratet;casado
verliebt;enamorada
verliebt;enamorado
vernünftig;sensata
vernünftig;sensato
verpflichtend;obligatoria
verpflichtend;obligatorio
verschieden;distinta
verschieden;distinto
verständnisvoll;comprensiva
verständnisvoll;comprensivo
viel;mucha
viel;mucho
voll;completa
voll;completo
voll;llena
voll;lleno
vorbereitet;preparada
vorbereitet;preparado
wach;despierta
wach;despierto
wahr;verdadera
wahr;verdadero
warm;caliente
weit;lejos
wenig;poca
wenig;poco
wesentlich;esencial
wettbewerbsfähig;competitiva
wettbewerbsfähig;competitivo
wichtig;importante
wirtschaftlich;económica
wirtschaftlich;económico
wöchentlich;semanal
wolkig;nublada
wolkig;nublado
zahlreich;numerosa
zahlreich;numeroso
zubereitet;preparada
zubereitet;preparado
zwingend;obligatoria
zwingend;obligatorio
